소스,사업명,주관부처,마감일,상세링크,수집일시
K-Startup,「2026 사천 청년·전환세대 창업·창직 프로젝트 <THE LANDING>」 참여자 모집(연장),사천시청년센터,2026-05-12,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177560,2026-07-23 08:02
K-Startup,2026년 대전 팁스타운 팁스아카데미(1차): 공공조달시장 입점전략(혁신시제품 지정제도 활용),창업진흥원,2026-05-12,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177550,2026-07-23 08:02
K-Startup,고객 가치 제안과 검증 교육 참가자 모집,상지대학교 벤처창업본부,2026-05-13,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177574,2026-07-23 08:02
K-Startup,"「NextRise 2026, Seoul」 1:1 Meetup 스타트업 모집",한국산업은행,2026-05-13,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177607,2026-07-23 08:02
K-Startup,컨셉 활용 고객 가치 제안 구체화 교육 참가자 모집,상지대학교 벤처창업본부,2026-05-13,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177573,2026-07-23 08:02
K-Startup,국토교통부「혁신 프리미어 1000」선정계획 연장공고,국토교통부,2026-05-14,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177543,2026-07-23 08:02
K-Startup,"[인포뱅크X티비즈] (홍릉) 2026년 GRaND-K 창업학교 예비/초기창업 기업 모집(연장공고 ~5/15, 17:00)",인포뱅크(주),2026-05-15,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177587,2026-07-23 08:02
K-Startup,2026년 경남창원강소특구 이노테크 발굴 및 창업지원사업 KERITOR 7기 모집 공고(연장),한국전기연구원,2026-05-15,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177645,2026-07-23 08:02
K-Startup,[서울과학기술대학교]3D프린터 장비교육(야간),3d프린터 장비교육,2026-05-15,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177639,2026-07-23 08:02
K-Startup,업종별 지원사업 맞춤전략,울림컴퍼니,2026-05-16,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177561,2026-07-23 08:02
K-Startup,특허활용 투자유치 전략 세미나,혁신기술경영인증지원센터,2026-05-16,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177644,2026-07-23 08:02
K-Startup,2026년 5월 전북 IR피칭 & 오피스아워 by KRYPTON 신청 접수,(주)크립톤 전북지사,2026-05-17,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177612,2026-07-23 08:02
K-Startup,2026년 한양대학교 ERICA 산학협력단지 입주기업 모집 공고,한양대학교 ERICA 캠퍼스혁신파크사업,2026-05-17,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177539,2026-07-23 08:02
K-Startup,제3회 원주권 스타트업 커뮤니티 데이,상지대학교 벤처창업본부,2026-05-18,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177636,2026-07-23 08:02
K-Startup,"『SBA X DUP 스몰캡 M&A 인수창업 설명회』예비 서처(Searcher, 매수희망 스타트업/예비 경영자) 모집",주식회사 디유파트너스,2026-05-18,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177623,2026-07-23 08:02
K-Startup,「 2026 청주시 K- 바이오 글로벌 브릿지 」 참여기업 모집 연장공고,충북창조경제혁신센터,2026-05-19,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177660,2026-07-23 08:02
K-Startup,[무료 웨비나] Gemini로 만드는 AI 기반 GTM 실행툴,주식회사 코발트,2026-05-19,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177540,2026-07-23 08:02
K-Startup,[건국대학교] 2026 식품외식‧푸드테크  기술사업화 교육 지원자 모집,건국대학교 동물생명과학대학 식품과학전공,2026-05-19,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177651,2026-07-23 08:02
K-Startup,2026년 민간주도형 기술창업 활성화 지원사업 전북 농식품 테크 (예비)창업기업 모집,(주)리벤처스,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177559,2026-07-23 08:02
K-Startup,2026년「강남 취‧창업허브센터」5회차 입주 기업 신규 모집,서울특별시 강남구청,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177552,2026-07-23 08:02
K-Startup,2026 관광오픈이노베이션 매칭데이(3차) 참가기업 모집,한국관광공사,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177684,2026-07-23 08:02
K-Startup,2026년 중장년 중심 팀빌딩 지원사업 참여자 모집,재단법인 서울경제진흥원 대표이사,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177545,2026-07-23 08:02
K-Startup,2026년 글로벌 스케일업 인바운드 공통교육 참가자 모집,경상국립대학교 창업중심대학사업단,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177695,2026-07-23 08:02
K-Startup,[LH한국토지주택공사] 판교제2테크노밸리 기업지원허브 업무지원시설 임대 입점기업 모집 공고,한국토지주택공사 경기남부지역본부,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177603,2026-07-23 08:02
K-Startup,"2026년 브랜딩·콘텐츠 세미나 - 시선을 잡는 콘텐츠, 뉴미디어 시대의 브랜딩 전략",서울창업허브 창동,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177706,2026-07-23 08:02
K-Startup,2026년 성북구 청년 소셜벤처 혁신 경연대회 참가팀 모집,성북구청장,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177586,2026-07-23 08:02
K-Startup,2026 예술산업 금융지원 시범사업 지역설명회 (부산),예술경영지원센터,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177585,2026-07-23 08:02
K-Startup,2026 예술산업 금융지원 시범사업 지역설명회 (광주),예술경영지원센터,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177584,2026-07-23 08:02
K-Startup,Seoul Global Center OASIS-7(Incubation Office) Application,Seoul Global Center,2026-05-20,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177565,2026-07-23 08:02
K-Startup,레이저커팅기 장비교육,서울과학기술대학교,2026-05-21,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177643,2026-07-23 08:02
K-Startup,2026년 녹색·신기술·신제품 인증을 위한 실무교육 안내,서울기후테크산업지원센터장,2026-05-21,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177602,2026-07-23 08:02
K-Startup,2026년 여성CEO 비즈니스 아카데미 서울권역 시즌 1,한국여성경제인협회,2026-05-21,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177597,2026-07-23 08:02
K-Startup,2026-5회 호남권 엔젤투자 피칭룸 in 광주/전남,한국엔젤투자협회 호남권 엔젤투자허브,2026-05-21,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177627,2026-07-23 08:02
K-Startup,[성남산업진흥원] 2026년 투자활성화 지원 사업 참가기업 모집 공고,성남산업진흥원,2026-05-21,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177548,2026-07-23 08:02
K-Startup,강원BRIDGE 글로벌 진출 프로그램(알리바바닷컴 드림트립),강원창조경제혁신센터,2026-05-22,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177556,2026-07-23 08:02
